Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	XL_1 Spectral Count	XL_2 Spectral Count	XL_3 Spectral Count	nonXL_1 Spectral Count	nonXL_2 Spectral Count	nonXL_3 Spectral Count	XL_1 Unique Spectral Count	XL_2 Unique Spectral Count	XL_3 Unique Spectral Count	nonXL_1 Unique Spectral Count	nonXL_2 Unique Spectral Count	nonXL_3 Unique Spectral Count	XL_1 Total Spectral Count	XL_2 Total Spectral Count	XL_3 Total Spectral Count	nonXL_1 Total Spectral Count	nonXL_2 Total Spectral Count	nonXL_3 Total Spectral Count	XL_1 Intensity	XL_2 Intensity	XL_3 Intensity	nonXL_1 Intensity	nonXL_2 Intensity	nonXL_3 Intensity	XL_1 MaxLFQ Intensity	XL_2 MaxLFQ Intensity	XL_3 MaxLFQ Intensity	nonXL_1 MaxLFQ Intensity	nonXL_2 MaxLFQ Intensity	nonXL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P61160|ARP2_HUMAN	P61160	ARP2_HUMAN	ACTR2	394	Homo sapiens	1:Experimental evidence at protein level	Actin-related protein 2	1.0	0.999	11	35	35	35	0	0	2	10	11	12	0	0	2	10	11	12	0	0	2	10	11	12	0.0	5900546.5	988777.6	2.20209728E8	2.361644E8	2.56269008E8	0.0	4866997.0	0.0	4.5501856E7	4.8563956E7	5.2156312E7	
sp|P61163|ACTZ_HUMAN	P61163	ACTZ_HUMAN	ACTR1A	376	Homo sapiens	1:Experimental evidence at protein level	Alpha-centractin	1.0	0.999	16	48	23	48	3	1	2	13	14	15	1	0	0	6	8	8	3	1	2	13	14	15	5163559.5	1.2971226E7	7527388.5	1.8453504E8	2.76669504E8	2.84686304E8	5915061.5	4649120.5	5931389.5	4.2175E7	4.1421976E7	4.5210436E7	
sp|P61201|CSN2_HUMAN	P61201	CSN2_HUMAN	COPS2	443	Homo sapiens	1:Experimental evidence at protein level	COP9 signalosome complex subunit 2	1.0	0.999	9	17	17	17	0	0	0	4	5	8	0	0	0	4	5	8	0	0	0	4	5	8	526389.8	3989071.0	1678615.5	2.636787E7	5.547872E7	5.8690568E7	0.0	1790793.0	1918520.5	9159171.0	9743766.0	1.3004112E7	
sp|P61204|ARF3_HUMAN	P61204	ARF3_HUMAN	ARF3	181	Homo sapiens	1:Experimental evidence at protein level	ADP-ribosylation factor 3	1.0	0.999	5	25	0	25	2	3	5	5	6	4	0	0	0	0	0	0	2	3	5	5	6	4	1.6558211E7	2.809174E7	2.396014E7	9.1024464E7	9.2167424E7	8.4282504E7	1.1086299E7	1.0670677E7	1.2607083E7	2.5329816E7	2.4181546E7	2.7817954E7	sp|P84077|ARF1_HUMAN
sp|P61221|ABCE1_HUMAN	P61221	ABCE1_HUMAN	ABCE1	599	Homo sapiens	1:Experimental evidence at protein level	ATP-binding cassette sub-family E member 1	1.0	0.999	16	48	48	48	1	1	1	15	15	15	1	1	1	15	15	15	1	1	1	15	15	15	6917502.5	1.0557198E7	8534021.0	1.69166816E8	1.80808688E8	1.85486592E8	2432533.2	2537415.8	3060017.2	2.4356428E7	2.6072728E7	2.495305E7	
sp|P61224|RAP1B_HUMAN	P61224	RAP1B_HUMAN	RAP1B	184	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rap-1b	1.0	0.9989	5	10	0	10	1	1	1	2	3	2	0	0	0	0	0	0	1	1	1	2	3	2	655312.56	849721.2	1024103.1	4.73476E7	4.0808848E7	4.5460008E7	0.0	0.0	0.0	1.6110571E7	1.4329797E7	1.5707366E7	sp|P62834|RAP1A_HUMAN
sp|P61247|RS3A_HUMAN	P61247	RS3A_HUMAN	RPS3A	264	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS1	1.0	0.999	26	169	169	169	16	12	16	40	42	43	16	12	16	40	42	43	16	12	16	40	42	43	3.62802432E8	4.09243584E8	3.95819648E8	7.0629135E9	7.0140708E9	7.5387187E9	4.1601096E7	4.3844756E7	4.2648992E7	7.287129E8	7.3964506E8	7.6733587E8	
sp|P61254|RL26_HUMAN	P61254	RL26_HUMAN	RPL26	145	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL24	1.0	0.999	11	79	10	79	7	7	7	20	18	20	0	1	1	3	2	3	7	7	7	20	18	20	1.14534832E8	1.21472384E8	1.26092472E8	2.43698048E9	2.41915546E9	2.47085568E9	3.8727904E7	4.29254E7	4.1325676E7	8.8535142E8	8.5421504E8	8.3993926E8	
sp|P61289|PSME3_HUMAN	P61289	PSME3_HUMAN	PSME3	254	Homo sapiens	1:Experimental evidence at protein level	Proteasome activator complex subunit 3	1.0	0.999	20	128	128	128	25	26	22	19	15	21	25	26	22	19	15	21	25	26	22	19	15	21	4.40210208E8	4.92447296E8	5.09176416E8	8.1173824E8	9.6527597E8	9.5339136E8	5.375292E7	6.0642132E7	6.614914E7	1.18945984E8	1.23947024E8	1.24305976E8	
sp|P61313|RL15_HUMAN	P61313	RL15_HUMAN	RPL15	204	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL15	1.0	0.999	12	71	71	71	5	8	8	19	15	16	5	8	8	19	15	16	5	8	8	19	15	16	1.57444256E8	1.43202096E8	1.41862256E8	3.23669786E9	3.31056512E9	3.26865894E9	3.3420912E7	3.1605196E7	3.3897556E7	6.2081075E8	6.0560704E8	6.2240358E8	
sp|P61326|MGN_HUMAN	P61326	MGN_HUMAN	MAGOH	146	Homo sapiens	1:Experimental evidence at protein level	Protein mago nashi homolog	1.0	0.999	8	25	0	25	0	0	0	7	9	9	0	0	0	0	0	0	0	0	0	7	9	9	903393.0	793930.94	940649.2	9.091524E7	9.03262E7	9.5652144E7	0.0	0.0	834567.3	1.737955E7	1.7352378E7	1.8260046E7	sp|Q96A72|MGN2_HUMAN
sp|P61353|RL27_HUMAN	P61353	RL27_HUMAN	RPL27	136	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL27	1.0	0.999	7	48	48	48	5	5	5	10	12	11	5	5	5	10	12	11	5	5	5	10	12	11	1.0233216E8	1.14245264E8	1.3896568E8	3.17367834E9	3.29670912E9	3.3749056E9	2.8769618E7	3.5445872E7	4.3433976E7	9.2150976E8	9.4955386E8	9.2850637E8	
sp|P61421|VA0D1_HUMAN	P61421	VA0D1_HUMAN	ATP6V0D1	351	Homo sapiens	1:Experimental evidence at protein level	V-type proton ATPase subunit d 1	1.0	0.999	7	15	15	15	0	0	0	5	3	7	0	0	0	5	3	7	0	0	0	5	3	7	1166380.0	0.0	982233.06	6.058394E7	6.8425544E7	9.0625704E7	0.0	0.0	0.0	3.6875936E7	3.6596556E7	3.551074E7	
sp|P61513|RL37A_HUMAN	P61513	RL37A_HUMAN	RPL37A	92	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL43	1.0	0.999	5	33	29	33	3	1	2	8	9	10	2	1	2	7	8	9	3	1	2	8	9	10	4.7683756E7	4.5370284E7	4.4956172E7	9.824631E8	9.9643245E8	9.8987258E8	1.6544595E7	1.3535915E7	1.4334653E7	4.7942048E8	4.76675712E8	4.7514672E8	
sp|P61586|RHOA_HUMAN	P61586	RHOA_HUMAN	RHOA	193	Homo sapiens	1:Experimental evidence at protein level	Transforming protein RhoA	1.0	0.999	10	31	12	34	1	1	0	11	9	9	1	1	0	4	3	3	1	1	0	12	10	10	6430713.0	6611806.0	3206968.8	1.62841248E8	1.67952416E8	1.65948224E8	3356136.0	3227232.0	0.0	3.464282E7	3.5609572E7	3.6095048E7	
sp|P61604|CH10_HUMAN	P61604	CH10_HUMAN	HSPE1	102	Homo sapiens	1:Experimental evidence at protein level	10 kDa heat shock protein, mitochondrial	1.0	0.999	9	68	68	68	6	6	6	17	16	17	6	6	6	17	16	17	6	6	6	17	16	17	9.012324E7	9.130872E7	9.4772536E7	2.48696422E9	2.52842368E9	2.64047949E9	2.2881806E7	2.159437E7	2.1438224E7	4.99555232E8	5.0587056E8	5.3701952E8	
sp|P61619|S61A1_HUMAN	P61619	S61A1_HUMAN	SEC61A1	476	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec61 subunit alpha isoform 1	1.0	0.999	5	14	7	14	1	1	2	3	3	4	0	0	0	2	2	3	1	1	2	3	3	4	3927532.2	5589851.0	4178354.2	9.38078E7	9.5363648E7	9.7076584E7	2161692.5	2767363.5	2853217.0	2.7871626E7	2.7886298E7	2.993716E7	
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	Homo sapiens	1:Experimental evidence at protein level	Lysozyme C	0.96	0.9989	1	3	3	3	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1676945.5	1431297.9	1546181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61758|PFD3_HUMAN	P61758	PFD3_HUMAN	VBP1	197	Homo sapiens	1:Experimental evidence at protein level	Prefoldin subunit 3	1.0	0.999	9	35	32	35	3	2	3	10	7	10	3	2	3	9	6	9	3	2	3	10	7	10	1.1062538E7	2.2446574E7	1.8562732E7	1.3039252E8	1.09551944E8	1.33123536E8	5553468.5	5661193.0	5276965.0	3.528154E7	3.5532256E7	3.6986168E7	
sp|P61769|B2MG_HUMAN	P61769	B2MG_HUMAN	B2M	119	Homo sapiens	1:Experimental evidence at protein level	Beta-2-microglobulin	0.7675	0.9924	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	0.0	1.2160218E7	2.9243058E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61923|COPZ1_HUMAN	P61923	COPZ1_HUMAN	COPZ1	177	Homo sapiens	1:Experimental evidence at protein level	Coatomer subunit zeta-1	1.0	0.999	6	31	31	31	4	6	4	5	5	7	4	6	4	5	5	7	4	6	4	5	5	7	5.13354E7	4.8908496E7	5.0616904E7	1.65398656E8	1.560716E8	1.57698592E8	1.5527678E7	1.5639561E7	1.5791585E7	5.1597492E7	5.0404804E7	4.7022672E7	
sp|P61927|RL37_HUMAN	P61927	RL37_HUMAN	RPL37	97	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL37	0.9998	0.9989	3	10	10	10	1	1	1	2	3	2	1	1	1	2	3	2	1	1	1	2	3	2	4915658.0	4.1252508E7	5437914.5	5323673.0	4821803.5	3.1236296E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61956|SUMO2_HUMAN	P61956	SUMO2_HUMAN	SUMO2	95	Homo sapiens	1:Experimental evidence at protein level	Small ubiquitin-related modifier 2	0.9992	0.999	2	7	1	7	1	1	1	1	1	2	0	0	0	0	0	1	1	1	1	1	1	2	2.2846036E7	2.4040954E7	2.5096742E7	5.1914288E7	4.842298E7	5.7096284E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-fold modifier 1	0.6919	0.9889	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	3936697.8	3533011.0	4247838.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61962|DCAF7_HUMAN	P61962	DCAF7_HUMAN	DCAF7	342	Homo sapiens	1:Experimental evidence at protein level	DDB1- and CUL4-associated factor 7	1.0	0.999	7	15	15	15	0	0	0	6	3	6	0	0	0	6	3	6	0	0	0	6	3	6	1126138.5	0.0	0.0	3.0756912E8	3.299088E7	2.94005792E8	0.0	0.0	0.0	8.766132E7	1.0619708E8	1.03108672E8	
sp|P61964|WDR5_HUMAN	P61964	WDR5_HUMAN	WDR5	334	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 5	1.0	0.999	10	28	28	28	0	0	0	10	10	8	0	0	0	10	10	8	0	0	0	10	10	8	3570350.0	2438537.0	1528250.5	1.7834216E8	1.51131248E8	1.93929568E8	2450881.2	1909455.0	0.0	3.475206E7	2.8630302E7	3.7222252E7	
sp|P61970|NTF2_HUMAN	P61970	NTF2_HUMAN	NUTF2	127	Homo sapiens	1:Experimental evidence at protein level	Nuclear transport factor 2	1.0	0.999	3	7	7	7	0	0	0	2	2	3	0	0	0	2	2	3	0	0	0	2	2	3	0.0	1.1212101E7	7494491.5	1.0630744E8	1.04904064E8	9.7980824E7	0.0	5627718.0	4846108.5	6.8116856E7	5.814254E7	5.7217116E7	
sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein K	1.0	0.999	21	115	115	115	17	17	17	21	24	19	17	17	17	21	24	19	17	17	17	21	24	19	1.65152544E8	1.83773824E8	1.7214208E8	7.7057363E8	7.3741197E8	7.3188192E8	2.566539E7	2.6984622E7	2.721213E7	1.13327056E8	1.08646016E8	1.11630384E8	
sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein gamma	1.0	0.999	18	81	57	113	10	8	9	17	19	18	6	4	6	14	14	13	14	11	13	26	25	24	7.638092E7	7.2046504E7	8.7503088E7	1.43597325E9	1.40948582E9	1.37118003E9	2.1547692E7	2.0017112E7	2.2512806E7	3.51052192E8	3.36692032E8	3.3011824E8	
sp|P62070|RRAS2_HUMAN	P62070	RRAS2_HUMAN	RRAS2	204	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein R-Ras2	1.0	0.9989	6	11	8	11	0	0	0	3	3	5	0	0	0	2	2	4	0	0	0	3	3	5	0.0	0.0	0.0	2.7915332E7	2.447842E7	2.1434124E7	0.0	0.0	0.0	1.0140791E7	9719661.0	7328269.5	
sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS7	1.0	0.999	16	91	91	91	6	7	7	20	25	26	6	7	7	20	25	26	6	7	7	20	25	26	1.57869968E8	1.44825376E8	1.46940528E8	3.80904781E9	4.23942912E9	3.86901018E9	4.376428E7	4.1109052E7	4.066312E7	1.01376557E9	1.04272358E9	1.01529005E9	
sp|P62136|PP1A_HUMAN	P62136	PP1A_HUMAN	PPP1CA	330	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	1.0	0.999	19	83	16	83	8	9	7	21	20	18	2	2	2	3	4	3	8	9	7	21	20	18	6.9319016E7	8.3970632E7	1.41334384E8	6.5887917E8	6.6989248E8	6.9566221E8	1.4794579E7	1.644219E7	1.6507702E7	1.15958792E8	1.15009472E8	1.20866464E8	
sp|P62140|PP1B_HUMAN	P62140	PP1B_HUMAN	PPP1CB	327	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	1.0	0.999	16	15	15	72	3	2	2	3	3	2	3	2	2	3	3	2	8	7	6	18	17	16	9928374.0	2967785.8	8841146.0	7.0048216E7	6.8611808E7	5.8892432E7	3652428.8	0.0	3768666.5	3.651202E7	3.5245916E7	3.1100836E7	
sp|P62191|PRS4_HUMAN	P62191	PRS4_HUMAN	PSMC1	440	Homo sapiens	1:Experimental evidence at protein level	26S proteasome regulatory subunit 4	1.0	0.999	78	1406	1406	1529	296	284	295	186	175	170	296	284	295	186	175	170	319	304	315	208	193	190	9.6130195E10	8.8841642E10	1.00826268E11	1.99201587E11	2.08225763E11	2.04182372E11	1.17188905E10	1.16221768E10	1.21098875E10	2.16256307E10	2.20808561E10	2.17947935E10	
sp|P62195|PRS8_HUMAN	P62195	PRS8_HUMAN	PSMC5	406	Homo sapiens	1:Experimental evidence at protein level	26S proteasome regulatory subunit 8	1.0	0.999	73	1758	1635	1758	341	341	345	241	248	242	318	321	325	219	230	222	341	341	345	241	248	242	1.27384912E11	1.20928993E11	1.08250694E11	2.51298218E11	2.2943839E11	2.27282371E11	1.15629722E10	1.15778673E10	1.17068421E10	1.97263176E10	1.96928164E10	1.94416742E10	
sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS8	1.0	0.999	17	134	134	134	16	17	15	30	27	29	16	17	15	30	27	29	16	17	15	30	27	29	3.00111968E8	3.26089568E8	3.34726752E8	6.1095869E9	6.2009825E9	6.4396401E9	3.904544E7	4.0658184E7	3.9911196E7	6.7735008E8	7.0565178E8	7.270137E8	
sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS8	1.0	0.999	8	47	47	47	6	5	7	10	9	10	6	5	7	10	9	10	6	5	7	10	9	10	1.15341552E8	1.19012792E8	1.25574096E8	1.36433075E9	1.67146342E9	1.72880986E9	2.4337634E7	2.5112162E7	2.385267E7	3.55588768E8	4.15096544E8	4.20167392E8	
sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS9	1.0	0.999	12	66	66	66	9	7	8	14	13	15	9	7	8	14	13	15	9	7	8	14	13	15	2.22297504E8	2.20173488E8	2.25109632E8	3.75250381E9	3.88092339E9	3.97427379E9	4.400832E7	4.1998976E7	4.5095748E7	6.8636429E8	6.8938362E8	6.9898419E8	
sp|P62256|UBE2H_HUMAN	P62256	UBE2H_HUMAN	UBE2H	183	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 H	1.0	0.999	4	11	11	11	0	0	0	4	3	4	0	0	0	4	3	4	0	0	0	4	3	4	2987575.2	5002268.0	0.0	4.066764E7	3.113656E7	3.6288504E7	2347356.8	2306282.0	0.0	1.3101112E7	9638500.0	1.1387797E7	
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein epsilon	1.0	0.999	24	147	124	147	15	11	15	37	35	34	12	8	12	31	31	30	15	11	15	37	35	34	2.71700736E8	2.86918592E8	2.89033408E8	5.3983391E9	5.5357527E9	5.3570284E9	6.5418296E7	6.1256484E7	6.1663856E7	1.21033165E9	1.1911744E9	1.18698048E9	
sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS11	1.0	0.999	10	75	75	75	6	9	9	16	18	17	6	9	9	16	18	17	6	9	9	16	18	17	1.38343248E8	1.4487384E8	1.42575552E8	2.44401254E9	2.37999206E9	2.37903258E9	4.0406756E7	4.2491664E7	4.4412304E7	7.5027328E8	7.5162125E8	7.6240128E8	
sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS12	1.0	0.999	9	38	38	38	2	4	3	10	11	8	2	4	3	10	11	8	2	4	3	10	11	8	6.124858E7	6.8978248E7	6.4528172E7	1.08471514E9	1.16362867E9	1.11864832E9	3.6560304E7	4.345172E7	3.6796108E7	5.6431942E8	5.9689357E8	5.7508832E8	
sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS13	1.0	0.999	12	79	79	79	11	12	9	16	16	15	11	12	9	16	16	15	11	12	9	16	16	15	1.9437248E8	1.9073144E8	2.0820272E8	2.88624845E9	2.5812247E9	2.997184E9	3.3714452E7	3.1905374E7	3.3556576E7	5.01900224E8	5.23115232E8	5.15979552E8	
sp|P62273|RS29_HUMAN	P62273	RS29_HUMAN	RPS29	56	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS14	1.0	0.999	4	28	28	28	3	3	4	6	6	6	3	3	4	6	6	6	3	3	4	6	6	6	4.558084E7	4.8213316E7	4.918146E7	7.1287507E8	6.6768243E8	6.7276358E8	1.9248038E7	1.9915336E7	2.1426226E7	2.82732512E8	2.74360576E8	2.829088E8	
sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS15	1.0	0.999	12	68	68	68	5	8	6	16	16	17	5	8	6	16	16	17	5	8	6	16	16	17	1.19312512E8	1.2891836E8	1.34204424E8	2.13089626E9	2.3322816E9	2.30053274E9	3.02833E7	2.9935632E7	3.0349746E7	4.52102976E8	4.52004608E8	4.67136672E8	
sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS17	1.0	0.999	14	79	79	79	10	11	9	17	15	17	10	11	9	17	15	17	10	11	9	17	15	17	2.26983856E8	2.1650888E8	2.20871808E8	3.85744307E9	3.74374195E9	3.75803469E9	5.413252E7	4.8156916E7	5.0587544E7	9.2552384E8	9.0064512E8	9.2476454E8	
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	Homo sapiens	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein E	1.0	0.999	3	12	12	12	1	1	1	3	3	3	1	1	1	3	3	3	1	1	1	3	3	3	1.6391823E7	9635209.0	1.3678216E7	1.50536768E8	1.45450832E8	1.4988624E8	7409139.0	7775895.5	8197657.0	5.946888E7	6.2205236E7	6.4692768E7	
sp|P62306|RUXF_HUMAN	P62306	RUXF_HUMAN	SNRPF	86	Homo sapiens	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein F	1.0	0.999	4	28	28	28	4	4	3	7	5	5	4	4	3	7	5	5	4	4	3	7	5	5	1.4718037E7	1.6173298E7	2.0329618E7	1.90089536E8	1.72834272E8	1.78064672E8	5578284.5	6130402.5	5691024.0	5.3608256E7	4.9942692E7	4.9068796E7	
sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	Homo sapiens	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm3	1.0	0.9989	4	9	9	9	0	0	0	3	3	3	0	0	0	3	3	3	0	0	0	3	3	3	1189489.5	0.0	0.0	2.5825976E7	4.1427296E7	4.7628116E7	0.0	0.0	0.0	1.792467E7	2.2183018E7	1.9826466E7	
sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	Homo sapiens	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm6	1.0	0.999	4	10	10	10	0	0	0	3	4	3	0	0	0	3	4	3	0	0	0	3	4	3	974931.2	723695.6	0.0	7.210652E7	9.261784E7	7.3854064E7	0.0	0.0	0.0	2.0243284E7	2.5260544E7	2.0036308E7	
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	Homo sapiens	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D1	1.0	0.999	4	28	28	28	2	4	3	6	7	6	2	4	3	6	7	6	2	4	3	6	7	6	3.2995962E7	3.5797976E7	3.2192682E7	2.932016E8	3.04883264E8	2.67399872E8	1.69548E7	1.4834598E7	1.4791619E7	1.05230968E8	1.05302856E8	9.6191512E7	
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D2	1.0	0.999	10	44	44	44	5	4	5	10	11	9	5	4	5	10	11	9	5	4	5	10	11	9	3.4390048E7	3.8058536E7	3.6434272E7	4.9180496E8	4.6157696E8	4.95199456E8	1.1145163E7	1.0859122E7	9492404.0	9.6147424E7	9.126284E7	9.187084E7	
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens	1:Experimental evidence at protein level	Small nuclear ribonucleoprotein Sm D3	1.0	0.999	4	28	28	28	1	3	3	6	6	9	1	3	3	6	6	9	1	3	3	6	6	9	3.9275888E7	3.6076556E7	3.944102E7	3.5137568E8	3.4646368E8	3.340616E8	1.4460359E7	1.2143907E7	1.4924181E7	1.24664496E8	1.2492032E8	1.19523528E8	
sp|P62328|TYB4_HUMAN	P62328	TYB4_HUMAN	TMSB4X	44	Homo sapiens	1:Experimental evidence at protein level	Thymosin beta-4	0.9997	0.999	3	7	4	7	0	0	0	3	2	2	0	0	0	2	1	1	0	0	0	3	2	2	1.0511452E7	1.0120256E7	1.3497345E7	9.3553576E7	8.4395448E7	9.7727232E7	0.0	0.0	9175241.0	8.5571304E7	7.6604576E7	8.9288544E7	
sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	Homo sapiens	1:Experimental evidence at protein level	26S proteasome regulatory subunit 10B	1.0	0.999	57	1266	1266	1266	237	245	256	177	172	179	237	245	256	177	172	179	237	245	256	177	172	179	8.3373638E10	9.1413643E10	8.9386402E10	1.65207441E11	1.79667091E11	1.77363583E11	7.1799158E9	7.0894075E9	7.1128612E9	1.219153E10	1.21394504E10	1.26464184E10	
sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL8	1.0	0.999	20	146	146	146	20	20	22	30	26	28	20	20	22	30	26	28	20	20	22	30	26	28	3.58680064E8	3.2259696E8	3.73627008E8	5.6136376E9	5.9776379E9	5.6343378E9	4.3942168E7	4.0820284E7	5.0857456E7	7.5716851E8	7.3370298E8	7.466889E8	
sp|P62487|RPB7_HUMAN	P62487	RPB7_HUMAN	POLR2G	172	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB7	0.7349	0.991	1	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0.0	441618.7	621463.1	3137816.2	2637872.0	2503846.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic peptide chain release factor subunit 1	1.0	0.999	9	27	27	27	3	1	4	5	6	8	3	1	4	5	6	8	3	1	4	5	6	8	1.363674E7	9375694.0	1.0459994E7	4.1976896E7	5.1788844E7	6.332978E7	3690045.8	2957600.0	3689441.5	1.2529191E7	1.2512827E7	1.3202E7	
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS4, X isoform	1.0	0.999	24	137	57	137	12	14	11	30	35	35	5	7	5	13	13	14	12	14	11	30	35	35	2.321764E8	2.31950192E8	2.51986976E8	3.6221801E9	3.66711987E9	3.81976448E9	3.1314934E7	3.269681E7	3.4477908E7	4.73801088E8	5.03226272E8	4.92855904E8	
sp|P62714|PP2AB_HUMAN	P62714	PP2AB_HUMAN	PPP2CB	309	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform	0.9968	0.9964	12	3	3	50	0	0	0	1	1	1	0	0	0	1	1	1	4	6	3	11	12	14	725044.06	893300.7	697557.2	6137071.0	6824244.5	6194919.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL23	1.0	0.999	10	75	75	75	8	9	10	15	16	17	8	9	10	15	16	17	8	9	10	15	16	17	1.8416856E8	1.9154888E8	1.98077376E8	3.06068045E9	3.06015565E9	2.99854182E9	4.798752E7	4.4349916E7	4.7334416E7	7.5281747E8	7.4338202E8	7.4159213E8	
