Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_222_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H144_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H225_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H240_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H322_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H446_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H457_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H466_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H467_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_H471_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T83_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T349_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T350_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T406_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T410_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T413_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T441_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T463_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T488_01.mzML	E:\DIA_MVs_ExpII_2024\H_vs_T\HF240321_MVs_2021_T506_01.mzML
P48553	P48553	TPC10_HUMAN	TRAPPC10	Trafficking protein particle complex subunit 10			129275			83919.5				92729		630848		196256		519874	122764			
P48556	P48556	PSMD8_HUMAN	PSMD8	26S proteasome non-ATPase regulatory subunit 8	3.30406e+06	3.94209e+06	3.36204e+06	2.56029e+06	3.71424e+06	2.67408e+06	2.59535e+06	2.86203e+06	3.32851e+06	3.45958e+06	4.21562e+06	4.40931e+06	3.29725e+06	1.13484e+07	2.70397e+06	3.13115e+06	4.70945e+06	1.9407e+06	3.79966e+06	3.70111e+06
P48634	P48634	PRC2A_HUMAN	PRRC2A	Protein PRRC2A		308610	411466	315030		309577	349772				271002			407082						
P48637	P48637	GSHB_HUMAN	GSS	Glutathione synthetase	1.55269e+06	1.63317e+06	1.71507e+06	1.81537e+06	1.26201e+06	1.91456e+06	1.58801e+06	1.62669e+06	1.626e+06	1.39242e+06	1.57921e+06	1.26441e+06	1.83853e+06	394198	1.30332e+06	1.62205e+06	1.3064e+06	1.27935e+06	1.99312e+06	1.62356e+06
P48643	P48643	TCPE_HUMAN	CCT5	T-complex protein 1 subunit epsilon	4.15082e+06	3.49758e+06	4.84855e+06	4.48944e+06	3.80128e+06	3.45171e+06	3.92102e+06	3.86178e+06	3.46904e+06	3.62453e+06	4.32734e+06	4.25922e+06	3.53732e+06	7.67502e+06	2.49681e+06	3.37873e+06	4.60407e+06	2.82061e+06	4.2258e+06	3.20733e+06
P48651	P48651	PTSS1_HUMAN	PTDSS1	Phosphatidylserine synthase 1										255183				225866						
P48729	P48729	KC1A_HUMAN	CSNK1A1	Casein kinase I isoform alpha	205838	180184	323436	174817	192438	220082	168815	186892	229382	233511	184314	164187	195102	118741		208208	185951	99033.9	98758.3	142770
P48735	P48735	IDHP_HUMAN	IDH2	Isocitrate dehydrogenase [NADP], mitochondrial	1.61821e+07	1.37728e+07	1.47775e+07	1.16275e+07	1.09987e+07	7.16688e+06	9.17388e+06	1.28102e+07	1.10255e+07	1.24529e+07	9.18285e+06	2.09105e+07	1.07992e+07	3.69356e+07	5.29932e+06	1.95118e+07	1.7933e+07	5.51041e+06	7.08834e+06	6.7992e+06
P48736	P48736	PK3CG_HUMAN	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	1.82309e+06	1.87056e+06	2.03051e+06	1.98754e+06	1.60619e+06	1.59744e+06	1.20949e+06	2.27657e+06	1.54566e+06	1.67969e+06	1.6245e+06	2.29654e+06	1.77321e+06	1.72538e+06	1.98439e+06	2.15788e+06	1.34431e+06	1.6117e+06	1.37433e+06	1.68468e+06
P48739	P48739	PIPNB_HUMAN	PITPNB	Phosphatidylinositol transfer protein beta isoform	1.22242e+06	1.17274e+06	1.25112e+06	1.44036e+06	1.42141e+06	1.27025e+06	1.35838e+06	1.2896e+06	1.48192e+06	1.11084e+06	1.47376e+06	1.49364e+06	1.34328e+06	425523	956052	1.47025e+06	1.00238e+06	1.09058e+06	1.17663e+06	890642
P48740	P48740	MASP1_HUMAN	MASP1	Mannan-binding lectin serine protease 1	5.48571e+07	2.10506e+07	1.11281e+07	5.28423e+06	9.0934e+06	2.74321e+06	8.02875e+06	8.43443e+06	1.1619e+07	6.18351e+06	8.31518e+06	6.24806e+06	1.03347e+07	4.30605e+06	6.83335e+06	1.46026e+06	5.90729e+06	1.12969e+07	5.28829e+06	7.25261e+06
P48960	P48960	AGRE5_HUMAN	ADGRE5	Adhesion G protein-coupled receptor E5	815061	607773	1.14641e+06	673070	927163	537630	567279	1.39476e+06	1.48302e+06	597153	534278	974192	808643	219496		570107	844020	1.65843e+06	1.24422e+06	1.55375e+06
P49069	P49069	CAMLG_HUMAN	CAMLG	Guided entry of tail-anchored proteins factor CAMLG			53770.2						25439.4	29220.2				116693			55802.3			
P49137	P49137	MAPK2_HUMAN	MAPKAPK2	MAP kinase-activated protein kinase 2	539073	568447	485597	578958	457614	480813	448749	612313	489052	531481	477195	672199	835288	652736	279849	533359	576347	312687	405144	382380
P49184	P49184	DNSL1_HUMAN	DNASE1L1	Deoxyribonuclease-1-like 1	725446	381866	718872	665457	794466	597439	574762	802276	859144	626202	739846	449786	311119	568092	539550	481317	724377	708959	460116	431664
P49189	P49189	AL9A1_HUMAN	ALDH9A1	4-trimethylaminobutyraldehyde dehydrogenase	1.13894e+06	1.37794e+06	1.4319e+06	1.252e+06	1.23524e+06	1.01588e+06	1.13661e+06	1.54421e+06	1.24781e+06	782572	1.58327e+06	1.5363e+06	1.18538e+06	1.86601e+06	852960	1.06109e+06	1.57526e+06	1.48681e+06	1.33944e+06	1.64609e+06
P49247	P49247	RPIA_HUMAN	RPIA	Ribose-5-phosphate isomerase	411372	338392	377869	376767	251673	461753	337385	260194	376444	534924	403608	425688		481965	147960	352352	391446	480593	225869	361240
P49257	P49257	LMAN1_HUMAN	LMAN1	Protein ERGIC-53	1.53831e+06	1.56071e+06	1.62807e+06	1.35538e+06	1.34707e+06	1.01759e+06	1.08249e+06	1.9363e+06	1.56816e+06	1.48246e+06	1.30615e+06	3.35622e+06	1.62523e+06	2.64326e+06	888906	2.05368e+06	1.47636e+06	1.2748e+06	1.73021e+06	1.82466e+06
P49327	P49327	FAS_HUMAN	FASN	Fatty acid synthase	3.23933e+06	3.4073e+06	2.87064e+06	3.54794e+06	3.4396e+06	2.60917e+06	2.35101e+06	2.38907e+06	2.80734e+06	2.91297e+06	3.72041e+06	3.84227e+06	2.88813e+06	6.10893e+06	1.99105e+06	3.09035e+06	3.98306e+06	2.02583e+06	3.47765e+06	2.53008e+06
P49354	P49354	FNTA_HUMAN	FNTA	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	419164	429600	507100	498710	663358	495446	563224	355769	516846	446111	606784	596152	603084	926496	356975	735808	801853	439909	496982	383483
P49356	P49356	FNTB_HUMAN	FNTB	Protein farnesyltransferase subunit beta										146492				252714			179081			
P49368	P49368	TCPG_HUMAN	CCT3	T-complex protein 1 subunit gamma	6.1052e+06	5.54896e+06	6.0124e+06	5.51508e+06	4.57183e+06	5.29822e+06	4.88545e+06	4.48387e+06	4.25744e+06	5.04583e+06	5.46584e+06	5.63873e+06	5.48102e+06	1.27498e+07	4.07992e+06	5.4794e+06	6.95576e+06	3.22534e+06	5.86155e+06	5.83038e+06
P49406	P49406	RM19_HUMAN	MRPL19	Large ribosomal subunit protein bL19m	66515.5									74138.8				112162			36998.4			63564
P49407	P49407	ARRB1_HUMAN	ARRB1	Beta-arrestin-1	5.94599e+06	5.26643e+06	6.85237e+06	5.57921e+06	5.87279e+06	7.1159e+06	5.82706e+06	5.42375e+06	5.47084e+06	5.71488e+06	5.9103e+06	6.26844e+06	6.55747e+06	5.03385e+06	4.68489e+06	6.71714e+06	5.92682e+06	4.68284e+06	5.29904e+06	5.12996e+06
P49411	P49411	EFTU_HUMAN	TUFM	Elongation factor Tu, mitochondrial	3.63212e+06	3.33366e+06	3.53724e+06	2.31724e+06	2.73027e+06	1.94599e+06	2.13358e+06	3.46525e+06	2.78296e+06	2.62679e+06	2.57563e+06	6.0145e+06	2.10048e+06	7.73552e+06	1.19294e+06	3.70579e+06	3.71692e+06	2.19377e+06	2.22642e+06	2.12242e+06
P49588	P49588	SYAC_HUMAN	AARS1	Alanine--tRNA ligase, cytoplasmic	3.41383e+06	3.57693e+06	3.29091e+06	4.58185e+06	3.19265e+06	3.67303e+06	3.81433e+06	3.89412e+06	3.42332e+06	3.4024e+06	3.82318e+06	3.57563e+06	3.23759e+06	4.16565e+06	2.03881e+06	4.35566e+06	3.64314e+06	2.76401e+06	3.71362e+06	2.46064e+06
P49589	P49589	SYCC_HUMAN	CARS1	Cysteine--tRNA ligase, cytoplasmic	1.04109e+06	1.09154e+06	855803	918966	874672	980250	675421	718789	746562	923899	936670	1.09671e+06	574246	1.74865e+06	653697	932127	1.19456e+06	691096	780078	967535
P49590	P49590	SYHM_HUMAN	HARS2	Histidine--tRNA ligase, mitochondrial	1.7744e+06											1.3769e+06		2.8479e+06					1.19045e+06	
P49591	P49591	SYSC_HUMAN	SARS1	Serine--tRNA ligase, cytoplasmic	2.49532e+06	2.26043e+06	2.50495e+06	2.90781e+06	2.18077e+06	2.24324e+06	1.99975e+06	1.97043e+06	2.16573e+06	2.44012e+06	2.3298e+06	3.04436e+06	2.92015e+06	2.33966e+06	1.95236e+06	2.19392e+06	3.02924e+06	1.93363e+06	2.37216e+06	2.55948e+06
P49593	P49593	PPM1F_HUMAN	PPM1F	Protein phosphatase 1F	1.81903e+06	1.83958e+06	1.99715e+06	2.2964e+06	1.72719e+06	2.02844e+06	1.98548e+06	1.68453e+06	1.96671e+06	2.19579e+06	2.11424e+06	1.67948e+06	1.47645e+06	1.84555e+06	1.94094e+06	1.52732e+06	1.91843e+06	1.71238e+06	1.71513e+06	1.46794e+06
P49619	P49619	DGKG_HUMAN	DGKG	Diacylglycerol kinase gamma	541107	874142	537081	745758	459904	640545	493727	408494	847416	302339	451816	265757	391375	1.16289e+06	378639	394512	591404	482115	523493	267177
P49641	P49641	MA2A2_HUMAN	MAN2A2	Alpha-mannosidase 2x	378177	248560	145422	186637	562650	129818		196191	227662		239985	404961	279376	691449		491113	309888		217711	
P49662	P49662	CASP4_HUMAN	CASP4	Caspase-4																				86428.8
P49720	P49720	PSB3_HUMAN	PSMB3	Proteasome subunit beta type-3	1.3566e+06	1.05475e+06	1.73236e+06	970247	1.31747e+06	1.01573e+06	921616	1.26047e+06	1.14002e+06	1.28653e+06	1.19545e+06	1.9553e+06	1.48664e+06	2.35436e+06	1.0095e+06	2.22417e+06	2.04783e+06	1.53488e+06	1.32708e+06	1.4998e+06
P49721	P49721	PSB2_HUMAN	PSMB2	Proteasome subunit beta type-2	1.36818e+06	819317	1.12227e+06	825972	796934	719225	543513	665526	823322	926237	818673	1.61003e+06	993107	1.81374e+06	646364	867521	1.53369e+06	898941	699569	889728
P49747	P49747	COMP_HUMAN	COMP	Cartilage oligomeric matrix protein	407004	1.6769e+06	239831	385592	652637	72216.5	647576	401040	266469	341692	526633	357425	546950	529952	573082	967170	356071	580769	566033	268565
P49748	P49748	ACADV_HUMAN	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	2.21371e+06	2.19577e+06	2.15105e+06	1.63808e+06	1.88279e+06	1.14875e+06	1.04449e+06	2.29527e+06	2.16038e+06	1.81741e+06	1.30701e+06	2.75907e+06	1.51185e+06	6.04736e+06	637906	2.36174e+06	2.71844e+06	1.28553e+06	1.15316e+06	1.16674e+06
P49754	P49754	VPS41_HUMAN	VPS41	Vacuolar protein sorting-associated protein 41 homolog	215059	181360	112647	124517	85125.2	111309	86448.1	150229	92078.8	176965	161923			341002			185014			136659
P49755	P49755	TMEDA_HUMAN	TMED10	Transmembrane emp24 domain-containing protein 10	6.77997e+06	5.32142e+06	6.48639e+06	5.03159e+06	6.92515e+06	3.88769e+06	4.36708e+06	7.43324e+06	6.54815e+06	6.02172e+06	6.12944e+06	9.93119e+06	5.29373e+06	1.45329e+07	4.47298e+06	9.94976e+06	6.91939e+06	4.77152e+06	8.07342e+06	5.58084e+06
P49757	P49757	NUMB_HUMAN	NUMB	Protein numb homolog		544411	691683	649199		527593	1.01567e+06	847876	898409				761008	765275			495974	555869	864149	
P49758	P49758;P49802	RGS6_HUMAN	RGS6	Regulator of G-protein signaling 6	2.55225e+06	2.96934e+06	2.18339e+06	2.76422e+06	1.99523e+06	2.87844e+06	2.20343e+06	1.7625e+06	2.39588e+06	2.302e+06	2.09682e+06	2.0057e+06	2.33242e+06	1.26375e+06	1.76017e+06	2.50111e+06	2.15606e+06	1.59926e+06	1.82026e+06	1.16932e+06
P49768	P49768;P49810	PSN1_HUMAN	PSEN1	Presenilin-1	112083		200015			451138	329565	296328	205696	88637.3	118396			38045.9				212590	110996	135591
P49770	P49770	EI2BB_HUMAN	EIF2B2	Translation initiation factor eIF2B subunit beta			90151.1	364268		64689			335001			588592	567467	287310						
P49773	P49773	HINT1_HUMAN	HINT1	Adenosine 5'-monophosphoramidase HINT1	879481	1.68586e+06	1.09769e+06	1.30203e+06	1.2247e+06	1.37376e+06	1.42954e+06	1.65862e+06	1.84815e+06	1.3514e+06	1.77814e+06	1.54193e+06	1.87573e+06	324019		2.72986e+06	1.95159e+06	923480	673627	957639
P49795	P49795	RGS19_HUMAN	RGS19	Regulator of G-protein signaling 19	1.87316e+06	3.30851e+06	3.89759e+06	2.15353e+06	2.24625e+06	2.34992e+06	2.65455e+06	3.31328e+06	3.59578e+06	2.47446e+06	2.23524e+06	2.43789e+06	1.63398e+06	1.35923e+06	2.49861e+06	1.56874e+06	2.86509e+06	5.69095e+06	3.28269e+06	3.208e+06
P49821	P49821	NDUV1_HUMAN	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	1.49614e+06	1.40244e+06	1.43757e+06	1.15057e+06	1.41546e+06	659267	824532	1.42409e+06	1.15649e+06	1.08424e+06	1.03305e+06	1.56671e+06	1.05897e+06	2.76934e+06	758728	1.42701e+06	1.4316e+06	699697	511842	1.0198e+06
P49840	P49840	GSK3A_HUMAN	GSK3A	Glycogen synthase kinase-3 alpha	264496	226194	308707	176620	193329	287311		230933	259938	140662	144413		139708	204019			329186		121297	
P49841	P49840;P49841	GSK3B_HUMAN	GSK3B	Glycogen synthase kinase-3 beta	819708	880141	848395	925229	709336	930568	794810	662169	816932	761993	692638	980709	573866	852821	564949	425258	834618	790256	744179	586597
P49902	P49902	5NTC_HUMAN	NT5C2	Cytosolic purine 5'-nucleotidase	699314	766086	582842	631115	503511	538776	496133	658873	624368	571786	552643	768855	512838	993105	575638	600476	1.05676e+06	388557	557139	753853
P49903	P49903	SPS1_HUMAN	SEPHS1	Selenide, water dikinase 1			43993.2			30751								25583.1						
P49908	P49908	SEPP1_HUMAN	SELENOP	Selenoprotein P	2.16983e+07	1.17807e+07	9.30401e+06	1.36847e+07	2.58665e+07	6.58423e+06	1.3615e+07	8.73658e+06	1.37029e+07	1.62108e+07	1.57849e+07	1.31336e+07	1.23369e+07	1.12386e+07	1.85769e+07	1.13862e+07	1.03005e+07	1.27991e+07	1.87614e+07	1.33844e+07
P49913	P49913	CAMP_HUMAN	CAMP	Cathelicidin antimicrobial peptide	3.3853e+07	2.21258e+07	3.51484e+07	2.73488e+07	5.29984e+07	1.94012e+07	2.40563e+07	7.21343e+07	6.28184e+07	4.03212e+07	2.23363e+07	4.57726e+07	1.92874e+07	4.8217e+06	2.25153e+07	2.20918e+07	3.59779e+07	8.00449e+07	6.74536e+07	5.69734e+07
P49915	P49915	GUAA_HUMAN	GMPS	GMP synthase [glutamine-hydrolyzing]	4.68402e+07	3.7868e+07	3.44945e+07	4.04397e+07	5.47421e+07	3.95577e+07	3.65303e+07	4.42869e+07	3.69848e+07	3.56329e+07	5.27922e+07	3.38852e+07	4.75891e+07	4.07567e+07	4.06351e+07	3.46551e+07	3.34701e+07	2.6891e+07	2.92655e+07	3.04809e+07
P49961	P49961	ENTP1_HUMAN	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1			1.11573e+06	335426	892239			892751	1.16535e+06	422079	505715				173853		391922	925115	481803	507944
P50148	P50148	GNAQ_HUMAN	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	2.86108e+07	2.98349e+07	3.10974e+07	3.07567e+07	2.49342e+07	3.34882e+07	2.58949e+07	2.30447e+07	2.62995e+07	2.57399e+07	2.8356e+07	2.78176e+07	3.15259e+07	2.18303e+07	2.31487e+07	2.66907e+07	2.77765e+07	2.40226e+07	2.48317e+07	1.77914e+07
P50151	P50151	GBG10_HUMAN	GNG10	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	4.25305e+06	3.31678e+06	4.78982e+06	4.27557e+06	6.94522e+06	4.13019e+06	3.3099e+06	5.70808e+06	5.33634e+06	4.14763e+06	5.03626e+06	7.56212e+06	9.15985e+06	4.21153e+06	4.0964e+06	6.1471e+06	3.9744e+06	5.12747e+06	4.12893e+06	5.26459e+06
P50213	P50213	IDH3A_HUMAN	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	486418	517278	492483	448882	507142	290152	321377	532275	409037	456807	430157	743136	622104	1.20856e+06	349787	651516	605228	151194	359768	
P50225	P50225;P50226	ST1A1_HUMAN	SULT1A1	Sulfotransferase 1A1	8.15229e+06	1.47142e+07	9.2314e+06	6.94303e+06	7.20255e+06	1.03124e+07	5.99906e+06	5.3123e+06	6.08502e+06	3.31473e+06	1.78277e+07	1.22137e+07	8.57596e+06	1.58203e+07	4.57565e+06	9.11907e+06	2.03667e+07	8.15331e+06	7.47403e+06	6.71783e+06
P50238	P50238	CRIP1_HUMAN	CRIP1	Cysteine-rich protein 1	1.3513e+06	695527	1.38075e+06	1.64652e+06	3.49244e+06		3.00881e+06	2.95638e+06	2.8083e+06	1.16041e+06	2.44501e+06	1.21838e+06	2.34181e+06	1.18977e+06	5.43389e+06	1.46952e+06	650776			904865
P50281	P50281	MMP14_HUMAN	MMP14	Matrix metalloproteinase-14										221657				70101.7	239639	142178			717664	
P50336	P50336	PPOX_HUMAN	PPOX	Protoporphyrinogen oxidase	604384	498914	504174	761430	1.16658e+06	324342			685821					648680	2.14002e+06	4.76359e+06	622571			
P50395	P50395	GDIB_HUMAN	GDI2	Rab GDP dissociation inhibitor beta	9.90323e+06	1.13822e+07	1.29131e+07	1.06087e+07	1.09983e+07	1.33163e+07	1.25018e+07	1.15785e+07	1.21922e+07	1.29284e+07	1.21646e+07	7.65203e+06	9.095e+06	2.61276e+06	1.01239e+07	9.17966e+06	1.01008e+07	1.15509e+07	1.11907e+07	1.03286e+07
P50402	P50402	EMD_HUMAN	EMD	Emerin	819311	1.32626e+06	1.26118e+06	1.6095e+06	1.87617e+06	1.32049e+06	1.39492e+06	1.436e+06	1.09052e+06	1.42578e+06	2.22312e+06	2.13115e+06	1.18195e+06	1.87713e+07		1.92677e+06	2.43366e+06		1.47297e+06	
P50416	P50416	CPT1A_HUMAN	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform	3.01765e+06	2.63311e+06	2.4442e+06	1.89754e+06	3.14088e+06	1.33992e+06	1.67639e+06	2.70434e+06	2.7211e+06	2.09695e+06	2.44023e+06	4.65517e+06	1.97581e+06	9.02168e+06	1.3271e+06	3.89923e+06	3.49243e+06	1.11874e+06	1.35508e+06	1.39145e+06
P50440	P50440	GATM_HUMAN	GATM	Glycine amidinotransferase, mitochondrial		95406.2	32648.7			60810.8	31719.3							121069		121882	135269		60871.5	
P50453	P50453	SPB9_HUMAN	SERPINB9	Serpin B9	4.45337e+06	4.54369e+06	3.73599e+06	4.8556e+06	4.8314e+06	3.14111e+06	3.83885e+06	3.79548e+06	3.8634e+06	4.30619e+06	4.25944e+06	4.12225e+06	3.57887e+06	4.15001e+06	2.84623e+06	3.92368e+06	3.68047e+06	2.47037e+06	2.59951e+06	3.15564e+06
P50454	P50454	SERPH_HUMAN	SERPINH1	Serpin H1	1.00254e+06	762889	543375	396168	1.24923e+06	284107	448947	762713	578713	733242	655072	873153	847530	1.77974e+06	301984	1.54172e+06	914331		1.21587e+06	223760
P50461	P50461	CSRP3_HUMAN	CSRP3	Cysteine and glycine-rich protein 3			28540.9			31650.4			23937.7	26064.8				29726.7			27753			
P50502	P50502;Q8NFI4	F10A1_HUMAN	ST13	Hsc70-interacting protein	3.59885e+06	3.84106e+06	4.01793e+06	4.22303e+06	3.19678e+06	3.44093e+06	3.7928e+06	4.92251e+06	4.61897e+06	3.38958e+06	3.66251e+06	4.44123e+06	3.5012e+06	6.26489e+06	3.06751e+06	3.50123e+06	3.5977e+06	3.29978e+06	3.12124e+06	5.14133e+06
P50552	P50552	VASP_HUMAN	VASP	Vasodilator-stimulated phosphoprotein	1.72047e+07	2.08116e+07	1.87459e+07	1.98277e+07	1.57112e+07	1.84162e+07	2.04961e+07	1.66999e+07	1.89525e+07	2.28916e+07	1.64209e+07	1.38541e+07	1.53664e+07	3.55001e+07	1.83141e+07	1.55048e+07	1.86018e+07	2.18975e+07	1.56152e+07	8.53803e+06
P50570	P50570;Q9UQ16	DYN2_HUMAN	DNM2	Dynamin-2	6.0832e+06	5.69445e+06	5.96609e+06	6.64291e+06	4.93048e+06	5.60304e+06	5.71365e+06	4.831e+06	5.71775e+06	5.53927e+06	5.81551e+06	5.48192e+06	5.18406e+06	4.43774e+06	4.55566e+06	5.33834e+06	5.38058e+06	4.99531e+06	4.82542e+06	4.55748e+06
P50579	P50579	MAP2_HUMAN	METAP2	Methionine aminopeptidase 2	351768		361319	265122	249328	300691	285275	343978	253875	222258	553744	343027		267204	932149	248766	277431		266344	271373
P50583	P50583	AP4A_HUMAN	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	1.10294e+06	1.42136e+06	1.31955e+06	1.62193e+06	1.63913e+06	1.02364e+06	1.22979e+06	1.38187e+06	1.28442e+06	1.66228e+06	1.13017e+06	1.41187e+06	2.07835e+06	909844		1.20327e+06	1.16716e+06	1.40529e+06	991424	746256
P50851	P50851	LRBA_HUMAN	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein	4.86329e+06	4.22092e+06	4.85509e+06	3.77155e+06	4.27601e+06	4.57889e+06	3.75291e+06	4.02995e+06	3.5426e+06	4.05613e+06	4.52769e+06	5.38877e+06	4.00674e+06	1.43887e+07	2.81823e+06	6.18769e+06	7.32159e+06	2.37518e+06	4.27211e+06	4.35641e+06
P50895	P50895	BCAM_HUMAN	BCAM	Basal cell adhesion molecule	1.24593e+06	1.01788e+06	1.10547e+06	1.04608e+06	1.16997e+06	1.53162e+06	1.4303e+06	6.56894e+06	2.11603e+06	716381	1.52071e+06	1.30686e+06	1.17744e+06	608239	1.22254e+06	881315	707843	1.81453e+06	1.02783e+06	1.36081e+06
P50914	P50914	RL14_HUMAN	RPL14	Large ribosomal subunit protein eL14	321287		339486			182109	111710		547159		864275	448936		66182.5		394946	301523	274788	255127	464204
P50990	P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta	1.36765e+07	1.24347e+07	1.42018e+07	1.44077e+07	1.22266e+07	1.17589e+07	1.21373e+07	1.10008e+07	1.14159e+07	1.17852e+07	1.41838e+07	1.50089e+07	1.12653e+07	2.49875e+07	8.23455e+06	1.26093e+07	1.67066e+07	8.34592e+06	1.5787e+07	1.21561e+07
P50991	P50991	TCPD_HUMAN	CCT4	T-complex protein 1 subunit delta	4.67196e+06	3.71567e+06	4.24313e+06	4.38507e+06	3.65341e+06	3.37672e+06	3.52214e+06	3.32638e+06	3.62401e+06	3.69468e+06	4.47121e+06	4.22745e+06	4.15986e+06	8.94959e+06	2.29047e+06	4.0228e+06	5.45747e+06	2.11197e+06	4.04289e+06	4.22418e+06
P50995	P50995	ANX11_HUMAN	ANXA11	Annexin A11	9.90952e+06	6.40123e+06	1.07851e+07	5.2623e+06	1.41115e+07	9.14398e+06	1.057e+07	1.01047e+07	8.62075e+06	9.92605e+06	7.28317e+06	8.09104e+06	5.83786e+06	2.39171e+06	5.09071e+06	8.59389e+06	1.15199e+07	1.17167e+07	1.04162e+07	1.54999e+07
P51114	P51114	FXR1_HUMAN	FXR1	RNA-binding protein FXR1	272485	95660.7	152640	204610	888118	85639				245887	287617		3.7095e+06	479473	372614	183782	199548	342883		141297
P51148	P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C	1.32679e+07	1.04189e+07	1.14255e+07	1.17069e+07	1.14141e+07	1.13254e+07	1.22402e+07	1.06483e+07	1.15018e+07	9.54345e+06	1.18038e+07	6.10032e+06	7.47088e+06	7.09989e+06	9.16394e+06	5.54945e+06	8.26961e+06	1.13147e+07	1.14931e+07	7.31381e+06
P51149	P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	1.89189e+07	2.46323e+07	2.39815e+07	1.92118e+07	2.16633e+07	2.98709e+07	2.93302e+07	2.93251e+07	2.61127e+07	2.85452e+07	2.77731e+07	2.28489e+07	2.09871e+07	2.07653e+07	2.31023e+07	2.74988e+07	2.27259e+07	2.46556e+07	2.40895e+07	2.04827e+07
P51151	P51151;Q9NP90	RAB9A_HUMAN	RAB9A	Ras-related protein Rab-9A	1.00787e+06	668426	923450	716131	1.21826e+06	699428	984464	986229	1.24482e+06	830243	1.00792e+06	948055	773124	1.10532e+06	783257	1.19315e+06	747840	1.14236e+06	742624	705529
P51153	P51153	RAB13_HUMAN	RAB13	Ras-related protein Rab-13	3.09351e+06	2.91509e+06	2.92017e+06	3.06852e+06	3.07616e+06	3.09425e+06	3.03552e+06	3.11156e+06	3.45262e+06	2.83482e+06	3.15194e+06	2.5515e+06	1.91524e+06	1.78153e+06	2.52705e+06	2.31408e+06	2.68937e+06	1.75039e+06	2.18325e+06	1.70566e+06
P51159	P51159	RB27A_HUMAN	RAB27A	Ras-related protein Rab-27A	6.80081e+06	4.44851e+06	9.70749e+06	3.85256e+06	3.96337e+06	5.461e+06	3.2934e+06	1.49895e+07	9.71779e+06	9.96848e+06	3.52282e+06	8.02938e+06	2.30971e+06	1.98185e+06	3.09921e+06	5.78954e+06	9.02805e+06	1.21593e+07	1.0482e+07	1.64106e+07
P51398	P51398	RT29_HUMAN	DAP3	Small ribosomal subunit protein mS29	56659.1		64481.7						40594	110124	99366.6			214484			147056			
P51452	P51452	DUS3_HUMAN	DUSP3	Dual specificity protein phosphatase 3	4.98455e+06	4.57687e+06	4.24936e+06	5.64069e+06	4.85388e+06	5.05512e+06	4.43422e+06	3.80325e+06	4.33247e+06	4.13631e+06	5.39316e+06	2.98444e+06	3.48005e+06	3.28456e+06	4.25081e+06	2.38714e+06	4.271e+06	3.71243e+06	4.07563e+06	2.69304e+06
